d0,d1,d2,d3,d4,d5,d6,d7,d8,d9,label
-7.414600708117126,-23.169291503918792,-16.64200797369303,-16.27196522271136,-17.823836835735285,-38.45569571268061,-10.6224968736349,-39.66648383667128,-18.19980849110138,-38.28661338119377,0
-15.734557535584775,-6.677497862180202,-21.880329857661028,-13.12650859409474,-17.079395479749916,-21.41524851104454,-19.912568479287277,-26.241832134133166,-17.65996082543352,-21.860350233933254,1
-9.428254683823,-20.636199339190114,-5.680875025832488,-14.115072864398767,-13.44914963090384,-20.220430144124137,-7.382027247800679,-25.427106847985492,-17.139268099950492,-24.26367682978169,2
-36.167643586686,-50.12453075325158,-34.967482609963824,-41.45533190703585,-38.07126357058922,-61.925130008567685,-33.00468253378897,-75.27589207676809,-45.24263492420584,-63.41823476172202,2
-22.57659680391896,-27.072800479070885,-21.904553829498905,-14.963238703816282,-15.820622938355257,-31.015756267911666,-22.009088440945302,-32.8593439207499,-20.91636469772824,-34.16160749333529,3
-7.141264990459593,-13.397469127977107,-8.665790431277005,-9.770781309492946,-14.434603358614295,-16.764817097762098,-5.671062198378309,-17.286399456860437,-11.594506140500705,-22.951964359068164,2
-17.230603355885886,-23.260381476993228,-18.53822293399235,-27.50023294715352,-18.056602558833852,-26.92764251107886,-16.303763593343117,-24.88528091603864,-11.765621609284393,-30.15570556294284,8
-7.122999334698226,-12.292893339643527,-6.148447234542922,-5.905126683351727,-6.383533402166489,-17.305223899444037,-5.398590490487304,-19.95580596526069,-9.702154331249133,-17.23331776932161,6
-36.299868855698506,-41.8218683058831,-46.49460651588991,-38.65780070358304,-41.58111867479899,-8.584194068708285,-40.345207451759244,-35.135045508906906,-27.34948309116126,-26.09114067632184,5
-2.3437026185645657,-12.127834828716404,-9.259818113517545,-8.6340957055342,-12.94151272864244,-19.841013926848746,-6.320193614634579,-22.17198659382962,-12.815427376279786,-21.881753872570226,0
-12.917455740885536,-24.282040181838795,-17.882245373033474,-5.527779592640719,-16.55510921525517,-31.008612616392586,-12.647234015571506,-31.56181196263473,-20.206928994396044,-26.75885155326824,3
-11.938769743169718,-15.466716307115458,-8.602176692341402,-14.137951304393837,-7.9879546136974335,-23.71652552857265,-9.550411115174443,-27.78825153562286,-18.325950083605914,-23.873960474103487,4
-11.248502598792951,-19.284687247982152,-9.34403795627827,-12.338280774515862,-7.367035184106103,-23.9187979503869,-10.001615256922555,-27.85182684362446,-11.587187932828511,-22.976812017599304,4
-11.891161858535403,-20.198884835842936,-7.729498432624969,-14.562719634730298,-6.933696561642099,-22.557701268265383,-4.95677180226927,-31.996875638233593,-14.97008937746826,-28.068548463798148,6
-15.798797028971745,-20.150533650961577,-15.764243981578382,-24.167476665949128,-20.49717968463986,-19.671098180725934,-12.99477768401963,-17.0877065815224,-4.269025528605549,-18.918720113924493,8
-32.941470951979966,-44.199596538916225,-42.074977832335314,-37.9035500269661,-39.440411667360344,-8.95541512433817,-35.01584066093371,-29.79898197132377,-26.80423815403051,-24.626267679246848,5
-9.836401021679663,-16.608516947167004,-6.697379798968835,-11.639164656082091,-6.228043754633194,-24.895055539839735,-5.4236919402366235,-32.25175784436378,-13.344852485554782,-22.948614656453106,6
-14.98822765431608,-15.942317632007649,-18.31354149479154,-5.806914601337866,-17.255519563779597,-28.279434635448236,-15.760495031906306,-37.211015676502704,-18.71984619489602,-22.81390295705173,3
-13.879252218844089,-29.076847845026904,-14.303557845611598,-16.63398950118318,-10.136255118778747,-34.55135016493092,-7.348917020667673,-40.13305757664423,-20.406062249330123,-36.05809569835395,6
-15.666266487098506,-23.277043307417795,-11.982572275247778,-19.113908039435373,-6.305215588154474,-28.604682809993346,-8.834301051787236,-29.537733049855415,-17.504592000559338,-23.88364226610389,4
-10.083913382295396,-16.772047066821496,-9.325125727351194,-7.711768701566207,-5.066722191024344,-22.186271476780252,-7.95753618624447,-24.727354712122807,-10.740741200802603,-22.27443861902101,4
-24.10455754544807,-25.364914318968452,-13.210694382926617,-23.239606594384846,-9.216256351520324,-35.35472118089529,-13.48357982651082,-44.82729946467923,-19.460523125487605,-28.085592243749687,4
-11.66002193368828,-23.919756416540515,-7.230642797388173,-15.189074969437247,-7.8030955882318205,-23.42357053693939,-9.827676944551342,-28.028759336304503,-18.099055045764864,-31.842336373891953,2
-18.418636274721283,-7.597197491347225,-22.10870314367153,-18.081168107187235,-21.436287803210234,-22.097669934583458,-22.25751355696773,-28.09004178393173,-21.05585859656194,-24.454431541530944,1
-24.548667807080307,-32.753502040752714,-28.250202573679072,-29.52712839910496,-29.267478214760235,-5.695344850262573,-27.300470885664545,-16.422174831998642,-21.827195305584524,-23.832773688168736,5
-19.688126839150883,-27.453129490375435,-22.466218482675245,-24.468944314182473,-22.940726864535524,-15.3540847406849,-19.81241414586148,-5.449481182315889,-17.838413020158704,-7.875010460185475,7
-28.738935958764845,-36.34489494164086,-30.473436948267754,-32.47245910974083,-30.5714667099245,-48.087274958470815,-22.253417205079817,-49.49713132660516,-2.3826978329765374,-42.74204965111148,8
-20.72393870211346,-23.27333917591323,-16.388546059636585,-15.139545836102174,-10.37014805228266,-26.558490942993306,-14.764441058321847,-31.26994071707063,-18.32933648588203,-23.098432124556197,4
-12.638623974536078,-17.353647104142116,-8.618127140052058,-10.17306384282334,-4.934148141202079,-22.68963407462151,-11.087542462482876,-29.59294937412831,-11.991561837224113,-26.50275988971435,4
-11.15319587570597,-4.952544323490859,-16.242361108523955,-9.717235843086568,-14.202578523643226,-21.469960460146535,-14.127123376886063,-21.49437257095788,-16.007484543403802,-20.718192476457812,1
-21.17695824270604,-29.610778964266682,-22.904022263748864,-24.200605246324262,-24.697018091554344,-9.00556984922407,-22.316112517925365,-10.036158981107995,-17.10631595383461,-15.680732101490436,5
-18.99163365190194,-21.687732879153526,-21.51028957360797,-19.98393021528246,-23.01133132244678,-11.797950488664435,-19.98176703300628,-2.9321436167329735,-15.592012663438663,-9.765629804123924,7
-18.992668947274492,-24.787653735927993,-19.279551544544194,-22.144768304594994,-22.169144902728572,-16.113603963545764,-18.577095190955493,-2.668494552182189,-15.860519229668887,-9.301193593290575,7
-24.624204316345896,-39.09635882089128,-25.128571519016806,-24.81736974142732,-28.134828030189066,-33.02942717473275,-21.30542058300828,-42.52595155863387,-9.744451491711033,-30.900426763240926,8
-17.3783451319045,-7.030683625903678,-23.302985628547354,-11.64442708470414,-15.864732708818146,-21.13552226870086,-19.518350995589508,-27.434063239626628,-17.980976363947672,-20.906940018548706,1
-7.1044214095196585,-10.152464329607831,-8.512129928403024,-9.521236786369638,-11.187539539778053,-18.05465195355398,-8.672528114217998,-20.097852058363326,-12.24576977374095,-14.614348315147897,0
-27.771843974846494,-34.163217408353624,-28.856244557119773,-25.874488277081937,-26.265484732602992,-13.821705524593106,-25.561309521056415,-22.46888533409848,-22.352590305438692,-4.391602604466212,9
-16.927769257785496,-29.067492160660827,-18.67314275838186,-24.511093313754778,-22.13794044660338,-29.61314148213706,-15.613523322189915,-29.51359415091071,-11.503591668801901,-33.92403524570807,8
-9.001933614365408,-22.978847414632234,-19.527543830319456,-15.526109075355848,-21.417015287002144,-34.8780199196667,-10.968001105386211,-42.638834679733726,-26.083847673177093,-34.44622204538418,0
-27.178261331751585,-40.01742589229112,-35.95694239937425,-18.51001072305047,-32.41155875301038,-29.86045139989734,-29.563389596925337,-28.20422052135474,-19.457039593284634,-35.793594449398135,8
-12.83313195988351,-15.22321789715521,-7.860525874601053,-16.949998800298083,-10.537443838752836,-21.555507340942217,-7.8980523250625145,-27.652057857120727,-12.944401469377782,-21.848951887636467,2
-16.317793791028,-33.33619375312486,-18.315403215124977,-26.597300010309155,-29.332073864235372,-38.80942346642569,-19.050540783394503,-43.935432502248766,-31.789504871483658,-55.34528218957248,0
-11.574095323475545,-13.603218955669565,-7.572643394389889,-12.532236397383185,-3.479082536710016,-18.294364975568996,-4.8575514744667245,-20.64158478540463,-11.001611225643607,-14.300769091894065,4
-13.24083897576972,-17.9567434781016,-11.42827647182498,-15.44104954039199,-10.913829411199568,-33.854039276421105,-12.849118036264485,-33.92024549138729,-15.216242921608323,-24.66682373520603,6
-6.833436335908928,-12.877847184583281,-2.170132764182767,-10.951800263370686,-5.895761352326695,-19.28262475241793,-5.541723791013159,-20.56869069947111,-13.948991624260614,-17.53670069696605,2
-7.226580573387163,-32.50189837077502,-20.577397291884793,-21.513731885212692,-29.917969586036044,-40.69945403979719,-14.139360485516258,-45.87559373091606,-23.816036012885363,-47.310357072504566,0
-17.630085484099407,-20.946260957635193,-23.958208405103864,-10.374096616172128,-20.260446181224445,-20.81136999025141,-17.6978210108235,-27.81715997794614,-17.501045511404598,-19.748047641621987,3
-14.964463452492154,-23.52533570566498,-11.694255065064025,-4.582411652684335,-10.997358844631265,-29.545713430246636,-13.485356207073469,-30.211209586824143,-19.10361528211586,-29.453461508696304,3
-14.285808407839129,-20.310087838918665,-6.957579479119504,-20.61739567061115,-9.964482739996674,-28.609017443252025,-11.854233171920978,-36.22902772084808,-18.12934167852659,-28.557110776502217,2
-16.87498250778245,-20.02619590941562,-23.8920243235481,-9.463536413898336,-20.48822144665629,-21.154413405493013,-19.00080494976539,-25.958483842465178,-16.542988313001477,-17.98387827577142,3
-11.180833329469937,-14.753441258963724,-5.80750777415094,-15.101259756352082,-9.192390916477278,-20.838517436447887,-8.320838837805464,-26.21811626292012,-12.852678774372462,-20.33573972098686,2
-10.80412332436796,-22.290420281175095,-10.213547413306351,-13.16372808716222,-5.787753351882867,-26.06254116451574,-7.6759964077624625,-32.01105519252032,-15.296093809200771,-28.811413310688074,2
-24.556196359508448,-30.971964956442147,-30.822781595735474,-23.734403631988013,-27.597866931658604,-13.368381891646894,-18.785575596241628,-25.400125642499106,-24.220903594250462,-7.91845981675649,9
-11.373431553319325,-10.296199917136102,-14.454964606244348,-2.7399409092844356,-11.578882717797827,-15.459232581762546,-12.906815246395581,-14.93631794838244,-12.179366353024593,-14.820486056120128,3
-4.4329503779817445,-20.611573924061112,-14.000686585138792,-17.70745624624888,-17.02011449624321,-31.83468943527589,-9.393937126409215,-32.23768227454068,-15.255749165299752,-29.96384804661233,0
-23.40373489611627,-28.057926449200508,-24.80347441492475,-25.570957589083932,-21.024084116601404,-15.980186969834731,-21.55416411203046,-18.348923880875773,-21.00637077622894,-1.5676120930739064,9
-15.783388677340442,-20.32769794237182,-19.580096954011537,-16.052435643587895,-18.25382703084431,-14.96378624711523,-13.619894880159006,-10.854505519052012,-9.980448192509298,-3.8316617610574095,9
-15.018976296292093,-22.410009589901048,-11.148363759627633,-18.259710291384707,-4.871500517754125,-25.995600073437483,-8.925113853923415,-33.53746841698349,-15.58006250028439,-28.199596240780252,4
-5.731053057636089,-17.370024155331944,-10.222775252705537,-14.887888674939493,-18.102494983598763,-25.968553077855066,-7.784481625466488,-32.4042609529636,-13.599514612098353,-35.2567163941914,6
-7.150683685855671,-13.759192181855914,-10.994463777695458,-6.057740681506889,-11.74908585951313,-22.891854738864346,-9.135774172931837,-20.700766718447472,-14.139688993717817,-21.16087947352233,0
-11.547354540386367,-18.92351503321996,-9.75439391869071,-10.944384058906113,-4.296199847913337,-25.796849568217187,-7.983616531272394,-30.472937192292207,-10.73879640791981,-26.985444799388322,4
-30.996579014542156,-44.64705479932107,-38.04572652170926,-44.426856802640266,-41.59564458882589,-4.016442548200603,-31.644626047228577,-25.192634041982423,-23.605130003134583,-22.581470397652147,5
-11.934942742256348,-13.69191532503744,-6.077456846980349,-11.675099492992382,-5.449460722689775,-21.629600586821873,-8.29568346857279,-27.53943981166472,-12.803356021759425,-20.073812971728103,4
-12.07395034242505,-21.516901263237138,-10.157389727859556,-14.61197479795655,-7.885396694846553,-27.88931988772544,-6.476516372341768,-34.83616668403916,-13.649889637659134,-28.175968204500837,6
