Optimizer,InputSize,Trial,Epoch,TimeMs,MemoryMB,Accuracy,Loss
SGD,1000,1,1,568,56.24,0.6590,1.0265
SGD,1000,1,2,1203,124.60,0.7870,0.5970
SGD,1000,1,3,1761,58.31,0.8470,0.4452
SGD,1000,1,4,2241,128.22,0.8840,0.3671
SGD,1000,1,5,2622,63.93,0.8980,0.3062
SGD,1000,2,1,286,69.71,0.6150,1.1464
SGD,1000,2,2,549,45.63,0.7660,0.6992
SGD,1000,2,3,771,22.51,0.8060,0.5587
SGD,1000,2,4,994,74.46,0.8330,0.4735
SGD,1000,2,5,1189,50.51,0.8590,0.4067
SGD,1000,3,1,227,87.59,0.6350,1.0619
SGD,1000,3,2,447,142.48,0.7930,0.6437
SGD,1000,3,3,643,46.25,0.8360,0.5037
SGD,1000,3,4,861,100.34,0.8570,0.4281
SGD,1000,3,5,1068,154.28,0.8810,0.3615
Momentum,1000,1,1,240,96.03,0.5810,1.4019
Momentum,1000,1,2,442,150.78,0.6700,1.0842
Momentum,1000,1,3,628,54.41,0.7180,0.9847
Momentum,1000,1,4,814,108.33,0.7290,0.8504
Momentum,1000,1,5,1002,162.42,0.7230,0.9145
Momentum,1000,2,1,225,95.88,0.6010,1.2626
Momentum,1000,2,2,428,150.66,0.6760,1.0981
Momentum,1000,2,3,637,54.51,0.6950,1.0112
Momentum,1000,2,4,819,108.38,0.7360,0.8928
Momentum,1000,2,5,1006,162.46,0.7420,0.9483
Momentum,1000,3,1,213,95.99,0.4800,1.6332
Momentum,1000,3,2,427,150.66,0.6430,1.1649
Momentum,1000,3,3,614,54.42,0.7470,0.8298
Momentum,1000,3,4,799,108.35,0.7630,0.8215
Momentum,1000,3,5,987,162.41,0.7600,0.7798
Adam,1000,1,1,635,22.90,0.6630,0.9521
Adam,1000,1,2,1300,78.58,0.8270,0.5028
Adam,1000,1,3,1920,60.62,0.8600,0.3863
Adam,1000,1,4,2532,42.62,0.8970,0.2945
Adam,1000,1,5,3184,25.61,0.9240,0.2383
Adam,1000,2,1,612,49.47,0.6700,0.9466
Adam,1000,2,2,1231,26.30,0.8250,0.4866
Adam,1000,2,3,1856,78.30,0.8800,0.3593
Adam,1000,2,4,2481,54.30,0.9120,0.2774
Adam,1000,2,5,3137,30.25,0.9270,0.2311
Adam,1000,3,1,612,49.41,0.6610,0.9583
Adam,1000,3,2,1234,26.29,0.8100,0.5375
Adam,1000,3,3,1848,78.29,0.8470,0.4118
Adam,1000,3,4,2474,54.29,0.8910,0.3286
Adam,1000,3,5,3125,30.25,0.9100,0.2700
SGD,10000,1,1,2037,285.67,0.8013,0.5825
SGD,10000,1,2,3980,150.86,0.8597,0.4029
SGD,10000,1,3,5976,230.96,0.8755,0.3505
SGD,10000,1,4,7928,311.93,0.8925,0.3078
SGD,10000,1,5,9897,113.01,0.9004,0.2876
SGD,10000,2,1,2024,91.11,0.7946,0.5855
SGD,10000,2,2,3977,77.70,0.8623,0.3937
SGD,10000,2,3,5934,284.54,0.8809,0.3409
SGD,10000,2,4,7869,229.45,0.8892,0.3087
SGD,10000,2,5,9818,174.53,0.8992,0.2822
SGD,10000,3,1,2001,171.06,0.7997,0.5825
SGD,10000,3,2,3940,237.49,0.8610,0.3965
SGD,10000,3,3,5864,262.42,0.8778,0.3491
SGD,10000,3,4,7836,287.34,0.8914,0.3179
SGD,10000,3,5,9792,312.42,0.8979,0.2919
Momentum,10000,1,1,1945,74.09,0.6008,1.3514
Momentum,10000,1,2,3812,308.30,0.3105,1.9119
Momentum,10000,1,3,5663,237.35,0.1145,2.3000
Momentum,10000,1,4,7538,166.26,0.1064,2.3253
Momentum,10000,1,5,9412,95.30,0.1009,2.3268
Momentum,10000,2,1,1959,90.14,0.6160,1.2056
Momentum,10000,2,2,3820,76.92,0.1265,2.2814
Momentum,10000,2,3,5676,283.46,0.3316,1.8574
Momentum,10000,2,4,7548,228.61,0.1034,2.3244
Momentum,10000,2,5,9401,173.45,0.1030,2.3246
Momentum,10000,3,1,1961,285.27,0.6507,1.2073
Momentum,10000,3,2,3826,170.36,0.3936,1.7367
Momentum,10000,3,3,5698,346.82,0.4980,1.5380
Momentum,10000,3,4,7582,203.77,0.4898,1.5368
Momentum,10000,3,5,9454,372.94,0.1761,2.1660
Adam,10000,1,1,7266,334.15,0.8105,0.5318
Adam,10000,1,2,16197,274.81,0.8742,0.3618
Adam,10000,1,3,25175,196.40,0.8937,0.3018
Adam,10000,1,4,34147,109.52,0.9055,0.2688
Adam,10000,1,5,43063,327.56,0.9173,0.2339
Adam,10000,2,1,7292,255.96,0.8171,0.5139
Adam,10000,2,2,16290,197.02,0.8761,0.3446
Adam,10000,2,3,25306,67.16,0.8974,0.2896
Adam,10000,2,4,34170,236.12,0.9116,0.2525
Adam,10000,2,5,43066,93.24,0.9204,0.2240
Adam,10000,3,1,7326,342.24,0.8083,0.5478
Adam,10000,3,2,16369,340.39,0.8759,0.3469
Adam,10000,3,3,25379,255.40,0.8977,0.2918
Adam,10000,3,4,34292,154.45,0.9117,0.2474
Adam,10000,3,5,43231,359.45,0.9230,0.2225
SGD,60000,1,1,12077,782.44,0.8500,0.4287
SGD,60000,1,2,23564,668.36,0.8781,0.3429
SGD,60000,1,3,35198,554.44,0.8878,0.3190
SGD,60000,1,4,46879,440.62,0.8917,0.3052
SGD,60000,1,5,58601,944.48,0.8937,0.2955
SGD,60000,2,1,11471,407.76,0.8467,0.4382
SGD,60000,2,2,22911,492.79,0.8804,0.3424
SGD,60000,2,3,34391,579.80,0.8887,0.3168
SGD,60000,2,4,45807,665.72,0.8930,0.3016
SGD,60000,2,5,57344,751.84,0.8967,0.2910
SGD,60000,3,1,11539,558.60,0.8490,0.4345
SGD,60000,3,2,22968,923.60,0.8779,0.3434
SGD,60000,3,3,34483,749.73,0.8875,0.3181
SGD,60000,3,4,46053,574.61,0.8917,0.3044
SGD,60000,3,5,57415,939.73,0.8939,0.2971
Momentum,60000,1,1,11075,717.08,0.6575,1.1623
Momentum,60000,1,2,22103,962.00,0.6403,1.2104
Momentum,60000,1,3,33068,606.99,0.2946,1.9358
Momentum,60000,1,1,11478,819.51,0.1503,2.2161
Momentum,60000,1,2,24566,920.68,0.0983,2.3258
Momentum,60000,1,3,80217,471.57,0.0978,2.3260
Momentum,60000,1,4,102634,573.57,0.1001,2.3254
